fibre,rating,price_per_unit,fat,carbohydrates,starch,protein,unit,product_origin,energy_kj,total_sugars,salt,item_code,url,name,reviews,energy_kcal,saturates
,4.4138,£4.00/unit,,,,,unit,Packed in United Kingdom; Farmed in Greece,,,,7573402,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-sea-bass-fillets-180g,Sainsbury's Sea Bass Fillets 180g,29,,
,4.875,£2.00/unit,,,,,unit,,,,,2319131,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/herta-frankfurters-x10-350g,Herta Frankfurter Hot Dogs x10 350g,8,,
,2.9167,£2.70/unit,,,,,unit,Produced in United Kingdom. Produced using British Pork,,,,6402200,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-wiltshire-cured-ham--taste-the-difference-120g,"Sainsbury's British Wiltshire Cured Ham, Taste the Difference 120g",12,,
,3.093,£2.25/unit,,,,,unit,Packed in United Kingdom; Produced using British Beef,,,,7517603,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-ultimate-steak-burgers--taste-the-difference-x2-340g,"Sainsbury's British Beef Burgers, Taste the Difference x2 340g",43,,
,2.8,£2.50/unit,,,,,unit,"Produced in Italy; Packed in Italy; Produced using Dutch, Italian",,,,6615163,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-italian-cubetti-di-pancetta-206g,Sainsbury's Italian Cubetti Di Pancetta 206g,15,,
,2.6364,£1.75/unit,,,,,unit,Produced in United Kingdom; Produced from British Chicken,,,,7103990,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-roast-chicken-135g,Sainsbury's British Roast Chicken Breast Slices x7 135g,11,,
,3.0,£0.80/unit,,,,,unit,Produced in United Kingdom; Produced from British pork,,,,7135667,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-honey-roast-ham-125g,Sainsbury's Honey Roast British Ham Slices x10 115g,4,,
,3.8,£4.00/unit,,,,,unit,"Produce of United Kingdom; Produced in New Zealand, United Kingdom; Produced using British Lamb, New Zealand Lamb",,,,1308693,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-lamb-mince-500g,Sainsbury's Lamb Mince 20% Fat 500g,10,,
,3.3846,£2.00/unit,,,,,unit,Packed in United Kingdom,,,,7640075,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-thick-unsmoked-bacon-rasher-x6-300g,Sainsbury's Thick Unsmoked Bacon Rasher x6 300g,13,,
,3.8571,£1.25/unit,,,,,unit,Produced in Italy; Packed in Italy; Produced using Italian pork,,,,6844353,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-italian-milano-salami-slices-86g,Sainsbury's Italian Milano Salami Slices 86g,7,,
,4.1429,£3.50/unit,,,,,unit,Produced in United Kingdom; Produced using British or Irish beef,,,,7542971,https://www.sainsburys.co.uk/shop/gb/groceries/mince/sainsburys-beef-mince-5-fat-500g,Sainsbury's Beef Mince 5% Fat 500g,28,,
,3.8,£4.00/unit,,,,,unit,"Produce of United Kingdom; Produced in New Zealand, United Kingdom; Produced using British Lamb, New Zealand Lamb",,,,1308693,https://www.sainsburys.co.uk/shop/gb/groceries/mince/sainsburys-lamb-mince-500g,Sainsbury's Lamb Mince 20% Fat 500g,10,,
,5.0,£2.25/unit,,,,,unit,Packed in United Kingdom; Produced using British pork,,,,1011302,https://www.sainsburys.co.uk/shop/gb/groceries/mince/sainsburys-extra-lean-british-pork-mince--be-good-to-yourself-500g,Sainsbury's British Pork Mince 5% Fat 500g,5,,
,4.3333,£2.10/unit,,,,,unit,Packed in United Kingdom; Produced from British pork,,,,7586458,https://www.sainsburys.co.uk/shop/gb/groceries/mince/sainsburys-british-lean-pork-mince-500g,Sainsbury's British Pork Mince 10% Fat 500g,3,,
,2.75,£2.45/unit,,,,,unit,"Produced in United Kingdom; Produced using British Lamb, New Zealand Lamb",,,,6857778,https://www.sainsburys.co.uk/shop/gb/groceries/mince/sainsburys-lamb-mince-250g,Sainsbury's Lamb Mince 20% Fat 250g,4,,
,2.75,£3.80/unit,,,,,unit,Packed in United Kingdom; Produced in United Kingdom; Produced using British Beef,,,,7917202,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1222260&urlRequestType=Base&categoryId=275324&catalogId=10146&langId=44,"Sainsbury's Beef Mince 5% Fat, SO Organic 400g",12,,
,0.0,£3.00/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using British Beef,,,,7917121,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1222244&urlRequestType=Base&categoryId=275324&catalogId=10146&langId=44,"Sainsbury's Beef Mince 12% Fat, SO Organic 400g",0,,
,3.0,£1.75/unit,,,,,unit,Packed in United Kingdom; Produced from British Pork,,,,7916164,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1219376&urlRequestType=Base&categoryId=275324&catalogId=10146&langId=44,Sainsbury's British Pork Mince 20% Fat 500g,2,,
,0.0,£4.80/unit,,,,,unit,Produced in United Kingdom; Produced using British Lamb,,,,7916570,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1219804&urlRequestType=Base&categoryId=275324&catalogId=10146&langId=44,"Sainsbury's Lamb Mince, SO Organic 400g",0,,
,0.0,£3.50/unit,,,,,unit,,,,,7912011,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1209644&urlRequestType=Base&categoryId=275324&catalogId=10123&langId=44,Tariq Halal Beef Mince 450g,0,,
,0.0,£5.50/unit,,,,,unit,,,,,7911978,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1209628&urlRequestType=Base&categoryId=275324&catalogId=10123&langId=44,Tariq Halal Lamb Mince 450g,0,,
,4.8333,£3.75/unit,,,,,unit,Produced in United Kingdom; Produced using British turkey,,,,7339270,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-turkey-breast-mince-500g,Sainsbury's Turkey Breast Mince 2% Fat 500g,6,,
,3.6,£3.30/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using Produced and packed in the UK using British turkey,,,,1353785,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-turkey-thigh-mince-500g,Sainsbury's British Turkey Thigh Mince 7% Fat 500g,10,,
